8/8/6p1/PR3p2/1P3k2/7P/r5P1/7K w - - 1 39,h3h4 f4g3 b5d5 a2a1 d5d1 a1d1,1545,endgame long mate mateIn3 rookEndgame
1r4k1/4Ppbp/p5p1/2q5/p2n4/P2Q2B1/r2N1PPP/3KR2R b - - 0 27,g7h6 e7e8q b8e8 e1e8,1223,advancedPawn crushing kingsideAttack middlegame promotion short
5k2/1p3pp1/p3pb2/r7/2P2B2/1P6/1PR1K1PP/8 b - - 0 33,f6e5 b3b4 a5a1 f4e5,1552,crushing endgame short
2r3k1/2r1q1p1/p3p1Q1/1p1p4/nP1P4/2P4R/P4PPP/2R3K1 b - - 0 30,e7f6 g6h7 g8f7 h3f3 f6f3 g2f3,1490,advantage long middlegame pin
6k1/1p3pp1/pB2qb1p/2P5/1P6/6QP/4r1P1/3R3K b - - 4 33,f6e5 d1d8 g8h7 g3d3 e6g6 d3e2,1148,crushing endgame fork long
r1bq1rk1/pp2pp1p/6pB/3Nb3/8/5B2/Pn2QPPP/R4RK1 b - - 1 15,e5h8 d5e7 d8e7 e2e7,1531,crushing kingsideAttack middlegame short
r1bq3r/ppppnkpp/2n5/b5N1/4P3/B1P5/P4PPP/RN1QK2R b KQ - 1 9,f7f8 d1f3 f8e8 f3f7,1449,mate mateIn2 opening short
r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P4/BP2PN2/P1P2PPP/RN1QKB1R w KQkq - 2 7,c2c4 f5b1 a1b1 d8a5 b3b4 a5a3,1971,advantage fork long opening
2r1r2k/ppq3pp/3b1p2/3Q3R/3P4/4B3/PP3PPP/R5K1 w - - 1 20,d5f5 c7c1 a1c1 c8c1 e3c1 e8e1,1969,long mate mateIn3 middlegame sacrifice
r4rk1/pppq2b1/2np3p/4p2b/B5p1/2PPQ2P/PP1N1P1B/R3NRK1 w - - 0 21,h3g4 d7g4 g1h1 g4a4,1431,advantage fork middlegame short
3n2k1/6p1/pp3p1p/8/2r1NR1P/6P1/1PP5/1K6 b - - 1 32,d8e6 e4f6 g7f6 f4c4,1189,advantage discoveredAttack endgame short
8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1846,endgame mate mateIn1 oneMove
r4r2/1ppb1p2/p2p2pk/5P2/4P3/2PBB1R1/PKP2P1q/8 b - - 4 26,h6h5 d3e2 h5h4 e3g5,1638,mate mateIn2 middlegame short
6k1/5pp1/2p4p/1pP5/qP2P3/5P2/1QKR2P1/4r3 w - - 11 42,b2b3 e1c1 c2c1 a4b3,1257,crushing deflection endgame short
2r5/8/8/pNp1r2p/3kNppP/1P1P4/2R2K2/8 b - - 2 42,d4d3 c2d2 d3e4 b5d6,1887,endgame mate mateIn2 sacrifice short
8/2k4p/p2p2p1/2pP1p2/2P4P/3K4/P2R1PP1/4r3 w - - 0 28,d2e2 e1e2 d3e2 c7b6 e2f3 b6a5 a2a3 a5a4,1689,crushing endgame master rookEndgame veryLong
5k2/1p6/8/4p2B/1R2Pp1p/3r1KpP/8/8 w - - 1 50,f3e2 d3e3 e2f1 f4f3 h5f3 e3f3,2510,crushing endgame long
5rk1/n1q2ppp/1p1bpn2/1B1p1b2/NP1P4/P3PN2/3B1PPP/3Q1RK1 w - - 0 19,b5e2 f5c2 d1a1 c2a4,2112,advantage interference middlegame short
1r3bk1/5p2/3P1qRP/r1n1p3/ppB5/P2Q1P2/1PP5/1K6 b - - 0 35,g8h7 g6g7 h7h6 d3h7,1903,doubleCheck mate mateIn2 middlegame short
1Q1k4/4r3/2q4p/2p1pp1P/2Bb4/1P6/P6K/4R3 b - - 4 43,d8d7 c4b5 c6b5 b8b5,1502,crushing endgame pin short
r5k1/1p3p2/2p1ppp1/3p4/2nP4/1QB2B1P/rPP2PP1/qNKR3R w - - 3 22,f3e2 a1b1 c1b1 a2a1,1472,attraction mate mateIn2 middlegame queensideAttack sacrifice short
2r2rk1/2QR1p1p/p3p1p1/1p4q1/5P2/P1N5/BPP3bP/2K4R w - - 1 20,c7c8 g5f4 c1b1 f8c8,1714,advantage intermezzo middlegame short
1r3rk1/p4pp1/4p2p/1Q2Pn2/1b1P4/4BN2/q4PPP/2R2RK1 w - - 1 19,c1a1 a2a1 f1a1 b8b5,1501,crushing middlegame short
r4rk1/5p2/1q2pnRP/p2p4/1ppP4/2P1P3/PPQN1P2/2K4R b - - 0 21,f7g6 c2g6 g8h8 g6g7,1344,kingsideAttack mate mateIn2 middlegame short
6k1/5Rp1/p6p/1p2P3/1qp1pNQ1/2n1P3/5KPP/3r4 b - - 0 31,g8f7 g4e6 f7f8 f4g6,1863,endgame mate mateIn2 short
2r2rk1/1p2b1p1/p2p1n1p/P2qpQ2/8/2P1BP2/1P1N2PP/3R1RK1 b - - 0 21,d5a5 f5e6 g8h7 e6e7,1362,advantage fork middlegame short
rnb2r1k/2q2p1p/p2p1bp1/1p2pN2/4P1QN/3B3R/PPP2PPP/R5K1 b - - 1 19,g6f5 h4f5 c8f5 g4f5,2035,advantage middlegame short
6k1/2b3pn/1p5p/2p1N1n1/8/P1BP2PP/2b1NP1K/5B2 w - - 3 37,e2f4 c7e5 c3e5 g5f3 h2g2 f3e5,1434,advantage fork long middlegame
7r/2Q2pb1/3ppk1p/5Bp1/3P4/1N2P1P1/Pr2qPP1/R5KR w - - 6 29,c7d6 e2f2 g1h2 f2g2,1201,fork mate mateIn2 middlegame short
1k1r3r/1b1p1p2/p3p3/1p2Pn2/3n2Np/P1Q5/1P3PPP/1B2NRK1 w - - 2 26,b1f5 d4e2 g1h1 e2c3,1288,advantage fork middlegame short
2r3k1/3n1pp1/pq2r1p1/2p5/3b4/BP5P/P2N1PP1/R1Q1R1K1 w - - 0 23,a3b2 e6e1 c1e1 d4b2 d2c4 b6f6 c4b2 f6b2,1889,advantage middlegame veryLong
r3r3/1p1n2pk/2p1pq1p/2P5/1p2R3/P2Q1N1P/5PP1/R5K1 b - - 1 24,f6a1 e4e1 h7h8 e1a1,1418,crushing discoveredAttack middlegame short
8/2Q2kpp/1p1p2r1/1PnN4/2P1n3/6P1/1r3PK1/8 b - - 6 41,f7e6 c7e7 e6f5 d5e3,1841,endgame mate mateIn2 short
3r1rk1/ppp2pp1/8/3nP3/2PPN1q1/3Q4/PP6/5K1R b - - 0 24,d5f4 e4f6 g7f6 d3h7,1086,clearance mate mateIn2 middlegame sacrifice short
1k1r1b1r/n1p3p1/p5p1/1pn1P3/P2B2Pq/2P2Q1P/1PB1K3/R6R b - - 0 24,c5e6 d4a7 b8a7 a4b5 d8d2 e2d2,1997,crushing long middlegame pin queensideAttack
3R4/1P6/2K2r2/7p/7P/5pk1/8/8 w - - 12 55,d8d6 f6f8 c6c7 f3f2,2068,advancedPawn crushing endgame quietMove rookEndgame short
2r3k1/4pp2/3p1bp1/1p6/1Pr1P1Q1/P3q1P1/6BP/1R2R2K b - - 4 23,c4c1 g4c8 c1c8 e1e3,1612,crushing master middlegame short
1q5r/p3kpp1/2Q1p2p/3pP2P/2n3P1/2N2P2/PrP5/K3R1NR w - - 0 26,g1e2 b2a2 c3a2 b8b2,1737,clearance mate mateIn2 middlegame sacrifice short
r2qkb1r/pQpbpppp/2n2n2/1N6/2pP4/8/PP2PPPP/R1B1KBNR b KQkq - 2 7,a8b8 b5c7 d8c7 b7c7,1190,crushing opening short
r1b1k1nr/3p1pQp/pp2p2B/2b5/4P3/2NB4/PPP2qPP/R2K3R b kq - 1 11,c5d4 g7f8,1202,mate mateIn1 middlegame oneMove
8/6r1/3kpRp1/6Pp/3K1P1P/8/8/8 b - - 0 61,d6e7 d4e5 g7g8 f6e6 e7f7 f4f5,2075,crushing endgame long rookEndgame
r4rk1/pbpp2p1/1pn3Qp/3N4/3q1N2/3B4/PP3PPP/5RK1 b - - 5 20,c6e5 d5e7 g8h8 g6h7,1697,kingsideAttack mate mateIn2 middlegame short
r3r2k/pp1q1pp1/2p1p2B/2Pb4/PP1n2P1/3B3Q/5P1P/2RR2K1 b - - 0 28,f7f5 h6e3 h8g8 e3d4,1723,crushing discoveredAttack middlegame short
2rq1k2/5ppp/p7/1p6/5Q2/2P5/P1P2PPP/4RK2 b - - 7 22,c8c3 f4b4 f8g8 b4c3,1281,crushing endgame fork short
2kr4/2pR4/2P1K1P1/8/8/p3n3/8/8 b - - 1 49,a3a2 d7d8 c8d8 g6g7 a2a1q g7g8q,2051,advancedPawn endgame long mate mateIn3 promotion
1r6/2r2p1R/7R/4pPk1/2B2n2/1P3P1P/P4K2/8 b - - 0 43,c7c4 h3h4 g5f5 h7f7,1768,endgame mate mateIn2 short
r1bqkb1r/1p1npp1p/p2p1np1/6B1/3N4/3BP3/PPP2PPP/RN1QK2R w KQkq - 0 8,c2c4 d8a5 b1c3 a5g5,1188,advantage fork opening short
1k6/p2bRq2/1p1P1Pp1/2p4p/7r/5QK1/P5P1/8 b - - 7 37,h4g4 f3g4 d7g4 e7f7,1421,crushing endgame short
5r2/1pp4k/p1n1p2p/3p2p1/3P2P1/2P2q2/PP1Q1P2/1K3R1R w - - 5 31,d2g5 f3d3 b1c1 d3f1 h1f1 h6g5,1681,crushing endgame long
8/8/7p/7P/2k2Kp1/6P1/8/8 b - - 5 46,c4d5 f4f5 d5d4 f5g6,1774,crushing endgame pawnEndgame short
6k1/ppp3pp/2nbrqr1/4p3/3PRp2/2B2N1b/PPPQ1PPP/4RBK1 b - - 0 19,g6g2 f1g2 f6g6 f3h4,1052,crushing middlegame short
r2k1bnr/p1pp1Bpp/1p3q2/4N1B1/3p4/2P5/PP2QPbP/RN2K2R b KQ - 2 10,f6g5 e5c6 g2c6 e2e8,1732,clearance mate mateIn2 opening sacrifice short
4r3/pp3kp1/5q2/3P3R/8/2b3PP/P3QP1K/3R4 w - - 1 34,e2c4 f6f2 h2h1 f2f3,1864,crushing endgame short
r2qkb1r/ppp2pp1/2n1p2p/5n1b/3P1B2/P1N2N1P/1PPQBPP1/R3K2R b KQkq - 2 11,f5d4 f3d4 c6d4 e2h5,1600,advantage discoveredAttack middlegame short
5rk1/2Q2ppp/8/p3P1q1/3N4/P6r/5P2/2R1RK2 w - - 0 33,f1e2 g5g4 f2f3 g4d4,1774,crushing fork middlegame short
8/8/8/1p6/4k3/2p4P/rP2RK2/8 b - - 1 49,e4d4 b2c3 d4c3 e2a2,1092,crushing discoveredAttack endgame rookEndgame short
r3k2r/1b1p1ppp/p1nPp3/1pB5/8/5N2/1q3PPP/R2QKB1R w Kkq - 5 18,f1e2 b2c3 e1f1 c3c5,1241,advantage fork middlegame short
3q4/5kpp/p1p5/1p1n4/2p1Q1P1/P6P/1PPB4/1K6 w - - 0 33,e4h7 d5f6 h7f5 d8d2,1726,advantage discoveredAttack endgame short
5rk1/5p1p/1qp2p2/p2pb2Q/Pr6/1P5P/4R1P1/4RN1K b - - 2 32,b4b3 e2e5 f6e5 h5g5 g8h8 g5f6,2316,advantage long middlegame sacrifice
5b1r/1Q3p2/p3pk1p/1p1p2p1/3q4/1P3PPP/P5P1/2RK1B1R w - - 0 22,d1e2 d4b2 e2d3 b2c1,1293,crushing fork middlegame short
r4rk1/1pp1np1p/p4Qp1/3P3P/P2Nq3/8/1B4R1/5B1K b - - 0 36,e7d5 f6g7 g8g7 d4f5 g7g8 f5h6,2169,attraction doubleCheck long mate mateIn3 middlegame pin sacrifice
5k2/3Pb3/8/pK6/4R3/1Bp4p/P5r1/8 b - - 6 52,c3c2 e4f4 f8g7 f4f7,1361,advantage endgame short
r1b1r1k1/ppp2ppp/2n5/8/2P1q3/P4N1P/1P1QBPP1/R3K2R w KQ - 2 15,e1c1 e4e2 d2e2 e8e2,1385,advantage middlegame short
2r1k2r/1p2bppp/1q1p4/p2Pp1P1/5n1P/1N3P2/PPPQ4/2KR1B1R w k - 0 17,a2a4 b6b3 f1b5 e8f8,1498,advantage defensiveMove middlegame pin short
2rq1rk1/1b3ppp/p2pp3/bp1n4/3PQ1N1/PP1B4/1BP2PPP/R4RK1 b - - 3 17,d8h4 g4f6 d5f6 e4h4,1403,crushing discoveredAttack middlegame short
3r2k1/1bqPn1pp/p3pp2/1pp3PQ/8/8/PPP4P/1K1R1R2 b - - 1 28,f6f5 h5e8 d8e8 d7e8q,1339,advancedPawn kingsideAttack mate mateIn2 middlegame promotion short
r2qk2r/ppp2pp1/2p2n2/7p/3bP1b1/2N3Q1/PPP2PPP/R1B1KB1R w KQkq - 0 9,h2h3 d4c3 g3c3 d8d1,1462,clearance mate mateIn2 opening short
8/8/1p2pk1p/pP4p1/P2PpPP1/4P3/3K4/8 w - - 0 43,f4g5 f6g5 d4d5 e6d5,1332,crushing endgame pawnEndgame short
r2r2k1/pp2bppp/2n1p3/8/2BP4/4BN1q/PP3P2/2RQ1R1K w - - 6 20,f3h2 e7d6 f2f4 h3e3,1587,advantage middlegame short
5r1k/3p2bp/p4pp1/qp1br3/4P3/1Q4B1/PP2RPPP/4R1K1 w - - 0 23,e4d5 a5e1 e2e1 e5e1,1005,backRankMate mate mateIn2 middlegame short xRayAttack
2k5/p1p5/r6q/3b4/8/3P4/PPP2P1P/R1B2RK1 w - - 0 31,c1h6 a6g6 h6g5 g6g5,1029,endgame fork mate mateIn2 short
